Title,Issn,SJR,H index
Journal of the European Mathematical Society,"14359855, 14359863",3.358,58
Diabetologia,"0012186X, 14320428",3.349,250
Annual Reviews in Control,13675788,3.343,93
IEEE Transactions on Power Electronics,08858993,3.341,299
Cement and Concrete Composites,09589465,3.339,192
Water Research,"00431354, 18792448",3.338,354
Journal of Public Administration Research and Theory,"14779803, 10531858",3.337,129
Journal of Human Resources,"15488004, 0022166X",3.335,118
Internet and Higher Education,10967516,3.327,109
Biofuel Research Journal,22928782,3.313,40
Quantitative Economics,"17597323, 17597331",3.313,32
Public Administration Review,"00333352, 15406210",3.311,163
ISPRS Journal of Photogrammetry and Remote Sensing,09242716,3.308,174
npj Quantum Information,20566387,3.305,58
Educational Researcher,0013189X,3.304,142
Evolution Letters,20563744,3.297,27
Sports Medicine,"01121642, 11792035",3.292,213
Alzheimer's and Dementia,"15525279, 15525260",3.288,150
Foundations and Trends in Theoretical Computer Science,"15513068, 1551305X",3.286,26
JCI insight,23793708,3.277,94
Ecological Monographs,00129615,3.273,168
EMBO Reports,"14693178, 1469221X",3.273,202
Persoonia: Molecular Phylogeny and Evolution of Fungi,00315850,3.273,73
Educational Research Review,1747938X,3.269,88
Nature Astronomy,23973366,3.269,71
Journal of Public Policy and Marketing,"07439156, 15477207",3.263,85
Proceedings of the Annual ACM Symposium on Theory of Computing,07378017,3.26,115
Quarterly Journal of the Royal Meteorological Society,"1477870X, 00359009",3.26,157
Information Systems Research,"15265536, 10477047",3.257,177
Engineered Regeneration,26661381,3.25,19
Journal of Travel Research,"15526763, 00472875",3.249,159
EMS Surveys in Mathematical Sciences,"2308216X, 23082151",3.245,6
FEMS Microbiology Reviews,"01686445, 15746976",3.245,237
Journal of World Business,10909516,3.245,132
Molecular Aspects of Medicine,"00982997, 18729452",3.244,150
Journal of Economic Growth,"15737020, 13814338",3.234,95
Renewable and Sustainable Energy Reviews,13640321,3.232,378
Journal of Product Innovation Management,"15405885, 07376782",3.222,162
